INTERACTOR_A	INTERACTOR_B
mm12833	mm3594
mm12833	mm7761
mm12833	mm2663
mm6119	mm2398
mm6116	mm6116
mm15408	mm7726
mm15562	mm1005
mm15562	mm1005
mm15562	mm12079
mm15562	mm12079
mm15562	mm2702
mm10649	mm13964
mm11243	mm5397
mm8589	mm5005
mm126	mm1082
mm126	mm1012
mm3703	mm19711
mm3703	mm10249
mm3703	mm7761
mm3703	mm19418
mm22533	mm10649
mm4224	mm4224
mm6978	mm508
mm2827	mm3944
mm2827	mm16559
mm6435	mm21207
mm4046	mm4046
mm6971	mm230
mm6971	mm230
mm6971	mm478
mm6971	mm508
mm6971	mm7158
mm6971	mm7701
mm6971	mm1519
mm6971	mm7761
mm6971	mm478
mm6971	mm230
mm9187	mm7617
mm5570	mm2664
mm5570	mm835
mm5570	mm960
mm5570	mm1405
mm5570	mm5363
mm6384	mm6560
mm20845	mm10051
mm6549	mm806
mm1771	mm16559
mm1771	mm2956
mm19027	mm17306
mm407	mm2344
mm16983	mm8981
mm16983	mm8981
mm16983	mm8981
mm9070	mm3299
mm9070	mm12511
mm9070	mm3299
mm9070	mm12712
mm11480	mm23222
mm388	mm3300
mm388	mm3872
mm388	mm2347
mm388	mm609
mm388	mm18269
mm388	mm18233
mm3369	mm3369
mm14811	mm6374
mm14811	mm16140
mm14811	mm6374
mm14811	mm16140
mm1993	mm7761
mm1105	mm2398
mm7171	mm32
mm7171	mm45
mm8758	mm4668
mm303	mm3300
mm304	mm2232
mm304	mm2182
mm304	mm1612
mm657	mm1159
mm14316	mm6668
mm9211	mm7617
mm2576	mm10709
mm4782	mm16191
mm19603	mm12426
mm2479	mm3557
mm19079	mm15461
mm12237	mm11749
mm5623	mm2880
mm1612	mm304
mm1612	mm3379
mm28	mm14580
mm6156	mm3071
mm1584	mm3547
mm19455	mm2576
mm14038	mm7088
mm8324	mm661
mm8975	mm11184
mm8975	mm10672
mm8975	mm809
mm8975	mm271
mm8975	mm9113
mm2013	mm4668
mm2013	mm3055
mm2013	mm12681
mm2013	mm10222
mm1807	mm4108
mm14346	mm3377
mm14346	mm4991
mm14346	mm4991
mm14346	mm3377
mm14346	mm9122
mm2153	mm3356
mm12511	mm9070
mm12511	mm9070
mm11741	mm4668
mm11741	mm11940
mm7391	mm8804
mm15458	mm2454
mm3657	mm3657
mm3657	mm6411
mm1720	mm8863
mm1720	mm8771
mm1720	mm8771
mm3022	mm2348
mm3022	mm3940
mm4759	mm4911
mm4759	mm3055
mm4755	mm872
mm4755	mm18508
mm4755	mm15408
mm4755	mm19833
mm4755	mm733
mm4756	mm21484
mm2702	mm4668
mm4751	mm354
mm3186	mm817
mm2709	mm5657
mm1877	mm5657
mm16494	mm4686
mm16494	mm8531
mm16559	mm1771
mm16559	mm2956
mm16559	mm3944
mm16498	mm18093
mm6922	mm15569
mm6922	mm15569
mm6922	mm14972
mm6922	mm14972
mm5973	mm1437
mm334	mm1631
mm334	mm1631
mm7133	mm2895
mm1435	mm3679
mm2871	mm806
mm3056	mm10920
mm3056	mm10920
mm10222	mm2013
mm17882	mm14408
mm17882	mm16088
mm17259	mm501
mm2056	mm8804
mm2056	mm4668
mm2056	mm8804
mm2056	mm4686
mm9407	mm9070
mm7578	mm7578
mm3872	mm388
mm3872	mm638
mm3872	mm609
mm3872	mm1036
mm3872	mm1054
mm3872	mm2150
mm10047	mm1150
mm1309	mm10249
mm123	mm7741
mm123	mm1051
mm123	mm1092
mm123	mm7741
mm5091	mm2664
mm5091	mm835
mm5091	mm960
mm5091	mm1405
mm5091	mm5363
mm5091	mm5570
mm15178	mm8771
mm15178	mm8252
mm4938	mm5505
mm4938	mm5505
mm231	mm14191
mm8780	mm3405
mm8780	mm3405
mm19559	mm4668
mm19559	mm14063
mm19559	mm11666
mm9240	mm9407
mm988	mm988
mm12268	mm19306
mm17071	mm4463
mm6109	mm1472
mm12793	mm16092
mm19628	mm3300
mm4373	mm11895
mm78	mm12455
mm78	mm5017
mm5610	mm1305
mm5610	mm3405
mm5610	mm2999
mm5363	mm2664
mm5363	mm835
mm5363	mm960
mm5363	mm1405
mm5363	mm5570
mm5361	mm2956
mm5361	mm16559
mm5361	mm3944
mm5361	mm9058
mm5005	mm8589
mm5368	mm8008
mm10706	mm10706
mm15950	mm10787
mm1837	mm4294
mm8531	mm3944
mm5726	mm6534
mm5726	mm3305
mm11253	mm10268
mm11253	mm14522
mm11253	mm14599
mm6783	mm10218
mm6783	mm10218
mm6783	mm10218
mm6783	mm4224
mm18741	mm4668
mm16458	mm5314
mm17475	mm231
mm17475	mm231
mm1472	mm6109
mm15821	mm9171
mm3055	mm3055
mm4668	mm7614
mm4668	mm10249
mm4668	mm2702
mm4668	mm4713
mm4668	mm4919
mm4668	mm21648
mm4668	mm9112
mm4668	mm5505
mm5505	mm4938
mm5505	mm10505
mm5505	mm19711
mm5505	mm6565
mm5505	mm4668
mm20999	mm20999
mm4709	mm6267
mm9105	mm19364
mm9105	mm21909
mm17157	mm20220
mm1377	mm17223
mm1377	mm6562
mm1377	mm6497
mm1377	mm3866
mm1377	mm17223
mm1377	mm6562
mm1377	mm6497
mm1377	mm5486
mm1377	mm3866
mm1377	mm17223
mm1377	mm6562
mm1377	mm3866
mm17603	mm1814
mm6126	mm2999
mm16140	mm3460
mm13853	mm13841
mm1050	mm3679
mm1050	mm3630
mm1050	mm8456
mm1050	mm6556
mm1050	mm6556
mm1050	mm3679
mm1050	mm3630
mm1050	mm3679
mm1050	mm6556
mm1051	mm7741
mm1051	mm123
mm2484	mm112
mm2484	mm5613
mm2481	mm2481
mm18670	mm1855
mm17500	mm231
mm2562	mm3970
mm661	mm140
mm661	mm140
mm847	mm7701
mm847	mm7761
mm9536	mm21903
mm15570	mm15765
mm15570	mm14262
mm15570	mm22575
mm15570	mm17085
mm15570	mm22411
mm15570	mm15765
mm15570	mm1865
mm15570	mm22575
mm19007	mm19007
mm3300	mm388
mm3300	mm388
mm3300	mm388
mm3300	mm5368
mm3290	mm6285
mm3290	mm5925
mm3290	mm5925
mm960	mm2664
mm960	mm835
mm960	mm1405
mm960	mm5363
mm960	mm5570
mm4686	mm4668
mm4686	mm4668
mm4686	mm9133
mm4686	mm8531
mm4686	mm14492
mm4686	mm2827
mm4686	mm17712
mm1305	mm3460
mm1305	mm3460
mm1305	mm5610
mm1305	mm5610
mm14022	mm2702
mm14749	mm12087
mm7887	mm388
mm12315	mm926
mm12315	mm7761
mm12315	mm7761
mm19711	mm10249
mm6668	mm18550
mm6668	mm9086
mm6668	mm4668
mm6668	mm2056
mm6668	mm4668
mm6668	mm2056
mm6668	mm2956
mm6668	mm3944
mm8257	mm3849
mm8257	mm5895
mm8257	mm5895
mm6584	mm6584
mm7614	mm15216
mm7614	mm10249
mm7614	mm10249
mm21648	mm4668
mm8967	mm1557
mm6030	mm18220
mm3460	mm15749
mm17438	mm6456
mm17438	mm6456
mm15461	mm15713
mm3398	mm7391
mm3398	mm8804
mm3398	mm4668
mm18649	mm20001
mm5138	mm17712
mm8008	mm5368
mm3698	mm5726
mm3195	mm12087
mm3195	mm10505
mm6056	mm6056
mm18093	mm4668
mm18544	mm18544
mm14492	mm2827
mm21810	mm12494
mm5895	mm8257
mm5895	mm8257
mm5895	mm8177
mm7761	mm2245
mm7761	mm12833
mm7761	mm6309
mm7761	mm1993
mm7761	mm1542
mm7761	mm3970
mm17644	mm17644
mm14495	mm5042
mm14495	mm5042
mm16068	mm14657
mm9696	mm6512
mm4064	mm14580
mm6851	mm1295
mm733	mm2790
mm733	mm872
mm733	mm18508
mm733	mm15408
mm733	mm19833
mm733	mm17504
mm733	mm4755
mm733	mm5518
mm9695	mm9695
mm9695	mm9447
mm10921	mm19080
mm2803	mm1598
mm2803	mm1598
mm6564	mm8798
mm2606	mm2307
mm18393	mm18723
mm6403	mm6199
mm6403	mm6469
mm5287	mm2301
mm3630	mm3679
mm3630	mm8390
mm3630	mm7576
mm3630	mm1050
mm3630	mm8456
mm3630	mm5380
mm3630	mm1050
mm3630	mm6556
mm3630	mm6556
mm16092	mm3460
mm3735	mm4649
mm3734	mm123
mm3732	mm15216
mm3732	mm7614
mm3732	mm10249
mm926	mm7761
mm5695	mm8295
mm5695	mm8295
mm2245	mm7761
mm2245	mm478
mm5919	mm3944
mm12712	mm9070
mm10920	mm3056
mm4922	mm3243
mm4922	mm12552
mm14061	mm7826
mm14061	mm7826
mm8177	mm5895
mm23111	mm3300
mm2388	mm22533
mm8772	mm7617
mm8772	mm231
mm8772	mm7617
mm12217	mm665
mm8059	mm13964
mm9915	mm4668
mm9915	mm2454
mm9915	mm2454
mm3680	mm3735
mm132	mm1128
mm3453	mm12833
mm3453	mm16923
mm3594	mm115
mm3594	mm5613
mm11007	mm2827
mm11761	mm9669
mm3866	mm2344
mm3866	mm1056
mm3866	mm851
mm3944	mm4668
mm3944	mm16559
mm22540	mm7893
mm22540	mm7893
mm22540	mm7893
mm21364	mm21364
mm2076	mm7403
mm2076	mm7302
mm2076	mm7313
mm2076	mm6123
mm7726	mm20774
mm7726	mm733
mm7726	mm872
mm7726	mm18508
mm7726	mm15408
mm7726	mm19833
mm7726	mm4755
mm7726	mm2790
mm7726	mm6751
mm7726	mm17504
mm7726	mm15408
mm7726	mm926
mm2070	mm2332
mm2070	mm6967
mm14408	mm17882
mm2078	mm12463
mm18026	mm8660
mm4991	mm3377
mm8295	mm8295
mm11715	mm9057
mm478	mm7654
mm4108	mm1807
mm18024	mm354
mm15725	mm15725
mm15725	mm13667
mm3994	mm8961
mm17221	mm4463
mm17223	mm2344
mm17223	mm3866
mm17223	mm3866
mm17223	mm755
mm17223	mm8798
mm17223	mm6350
mm3778	mm21409
mm3778	mm11055
mm3778	mm4668
mm17581	mm8753
mm3679	mm1050
mm3679	mm3630
mm3679	mm6556
mm18508	mm18508
mm18508	mm20774
mm1347	mm1953
mm1125	mm244
mm5955	mm377
mm18270	mm18270
mm1128	mm9177
mm1128	mm7761
mm2541	mm2541
mm603	mm14580
mm20487	mm8597
mm20487	mm8597
mm17876	mm11396
mm10842	mm17071
mm2287	mm14580
mm6456	mm17438
mm6352	mm3866
mm10249	mm7614
mm10249	mm4668
mm10249	mm7614
mm10249	mm7761
mm14580	mm16728
mm14580	mm603
mm14580	mm4064
mm14580	mm2287
mm14580	mm28
mm2790	mm7726
mm2790	mm4755
mm14586	mm14657
mm508	mm15591
mm1631	mm613
mm1631	mm2554
mm3314	mm7812
mm19570	mm19570
mm2426	mm14599
mm9309	mm115
mm3821	mm9695
mm4911	mm3055
mm4911	mm4759
mm592	mm9086
mm11895	mm4373
mm11895	mm4373
mm16773	mm1437
mm12087	mm508
mm12087	mm10384
mm12087	mm14912
mm12087	mm16235
mm12087	mm15188
mm12087	mm9959
mm12087	mm2596
mm12087	mm10505
mm12087	mm13841
mm12087	mm11940
mm5092	mm5092
mm16876	mm2263
mm3406	mm412
mm10505	mm508
mm10505	mm10384
mm10505	mm12087
mm10505	mm10478
mm10505	mm11741
mm10051	mm20845
mm8460	mm3140
mm8460	mm2537
mm14912	mm10505
mm14912	mm12087
mm1254	mm5613
mm1255	mm5726
mm1255	mm5726
mm1255	mm5678
mm1255	mm5831
mm1255	mm354
mm1255	mm5678
mm1255	mm354
mm8449	mm4177
mm8449	mm5582
mm7674	mm1793
mm7674	mm1793
mm17306	mm19027
mm17306	mm18514
mm2048	mm6369
mm2048	mm3572
mm2048	mm3572
mm2048	mm3572
mm2048	mm6369
mm1855	mm18670
mm16900	mm2592
mm9550	mm6668
mm21484	mm12833
mm21484	mm19463
mm21484	mm4099
mm21484	mm5693
mm3377	mm4991
mm3377	mm4991
mm3377	mm14346
mm3377	mm4991
mm1295	mm6851
mm1226	mm1225
mm1225	mm1226
mm17971	mm17971
mm18723	mm20220
mm18723	mm20220
mm20754	mm20754
mm1793	mm5439
mm1793	mm7674
mm1793	mm7258
mm1793	mm19073
mm1793	mm7674
mm1793	mm7258
mm1793	mm19073
mm2818	mm22533
mm2956	mm6668
mm4177	mm10353
mm4177	mm14582
mm4177	mm8449
mm6419	mm6199
mm6556	mm1050
mm6556	mm3679
mm6556	mm3630
mm6556	mm8456
mm6411	mm3657
mm8533	mm3140
mm8533	mm2537
mm2596	mm4668
mm2596	mm11741
mm2880	mm5623
mm11476	mm11476
mm9086	mm6668
mm9086	mm592
mm14175	mm16432
mm3741	mm3741
mm6995	mm13964
mm1092	mm7741
